figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,19,5495936,0.9256666666666666,4.251133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,20,1000,15000,0,2492284,0.9242666666666667,3.6712,prediction_set_size,standard_real,0.998656226988126
Figure 5,ImageNet,Synthetic-only,0.05,0.95,20,1000,15000,0,2492284,0.8922,2.2878666666666665,prediction_set_size,standard_reference,0.9921860953935329
Figure 5,ImageNet,SPI,0.05,0.95,20,1000,15000,0,2492284,0.9062,2.6795333333333335,prediction_set_size,spi_fast_form,0.9956761861066507
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,20,1000,15000,0,2492284,0.9172666666666667,3.1490666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,20,1000,15000,1,6438288,0.986,13.707266666666667,prediction_set_size,standard_real,0.9999970513802754
Figure 5,ImageNet,Synthetic-only,0.05,0.95,20,1000,15000,1,6438288,0.9008,2.6619333333333333,prediction_set_size,standard_reference,0.9955407711155403
Figure 5,ImageNet,SPI,0.05,0.95,20,1000,15000,1,6438288,0.9022,2.7114,prediction_set_size,spi_fast_form,0.9958273552386397
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,20,1000,15000,1,6438288,0.9160666666666667,3.4122,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,20,1000,15000,2,275592,0.9602,7.508333333333334,prediction_set_size,standard_real,0.9999192877007196
Figure 5,ImageNet,Synthetic-only,0.05,0.95,20,1000,15000,2,275592,0.9010666666666667,2.7127333333333334,prediction_set_size,standard_reference,0.9957978614745914
Figure 5,ImageNet,SPI,0.05,0.95,20,1000,15000,2,275592,0.9503333333333334,6.474466666666666,prediction_set_size,spi_fast_form,0.9998461986119817
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,20,1000,15000,2,275592,0.957,7.156133333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,20,1000,15000,3,2731692,0.9824666666666667,12.913533333333334,prediction_set_size,standard_real,0.9999953978828906
Figure 5,ImageNet,Synthetic-only,0.05,0.95,20,1000,15000,3,2731692,0.8821333333333333,2.1506,prediction_set_size,standard_reference,0.9899271671093313
Figure 5,ImageNet,SPI,0.05,0.95,20,1000,15000,3,2731692,0.9808,12.3186,prediction_set_size,spi_fast_form,0.9999938448041696
