figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,16,3118312,0.8814,2.1084,prediction_set_size,standard_reference,0.9890571010112454
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,16,3118312,0.9786,11.127533333333334,prediction_set_size,spi_fast_form,0.9999883097661856
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,16,3118312,0.9732666666666666,9.861466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,17,4091990,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,17,4091990,0.9148666666666667,2.994266666666667,prediction_set_size,standard_reference,0.9972211292497609
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,17,4091990,0.9582666666666667,6.769933333333333,prediction_set_size,spi_fast_form,0.9998785362208537
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,17,4091990,0.9272,4.039733333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,18,2569919,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,18,2569919,0.9096,3.0638,prediction_set_size,standard_reference,0.997267709605775
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,18,2569919,0.9856666666666667,13.998,prediction_set_size,spi_fast_form,0.9999973280780777
Figure 8,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,250,15000,18,2569919,0.9852,13.757133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 8,ImageNet,SCP,0.05,0.95,15,250,15000,19,5495936,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 8,ImageNet,Synthetic-only,0.05,0.95,15,250,15000,19,5495936,0.8764666666666666,2.0568666666666666,prediction_set_size,standard_reference,0.9882953149981272
Figure 8,ImageNet,SPI,0.05,0.95,15,250,15000,19,5495936,0.9952666666666666,26.0394,prediction_set_size,spi_fast_form,0.9999991035978442
