figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,11,5118207,0.955,6.6382666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,12,8690244,0.9812666666666666,12.326133333333333,prediction_set_size,standard_real,0.9999936148103509
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,12,8690244,0.8382666666666667,1.6278,prediction_set_size,standard_reference,0.9722749893894835
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,12,8690244,0.8701333333333333,1.9570666666666667,prediction_set_size,spi_fast_form,0.9858357202440562
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,12,8690244,0.9649333333333333,8.0622,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,13,8229426,0.9727333333333333,9.436066666666667,prediction_set_size,standard_real,0.9999717881551338
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,13,8229426,0.8382,1.6314666666666666,prediction_set_size,standard_reference,0.9717504341745898
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,13,8229426,0.8402666666666667,1.6473333333333333,prediction_set_size,spi_fast_form,0.9728497048331994
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,13,8229426,0.8982,2.4389333333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,14,348525,0.9658,8.4348,prediction_set_size,standard_real,0.9999504601632341
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,14,348525,0.8420666666666666,1.6652,prediction_set_size,standard_reference,0.9731621682612056
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,14,348525,0.9552,6.9388,prediction_set_size,spi_fast_form,0.9998816658285483
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,14,348525,0.9586666666666667,7.337133333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,15,8277021,0.9528,6.427,prediction_set_size,standard_real,0.9998411948053925
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,15,8277021,0.8575333333333334,1.7798,prediction_set_size,standard_reference,0.9799953031978773
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,15,8277021,0.8576666666666667,1.7809333333333333,prediction_set_size,spi_fast_form,0.980046932565794
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,15,8277021,0.7739333333333334,1.2665333333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,16,3118312,0.9786,11.127533333333334,prediction_set_size,standard_real,0.9999883097661856
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,16,3118312,0.8231333333333334,1.5230666666666666,prediction_set_size,standard_reference,0.9630547876240532
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,16,3118312,0.9031333333333333,2.664066666666667,prediction_set_size,spi_fast_form,0.995427957770995
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,16,3118312,0.9533333333333334,6.559866666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,17,4091990,0.9582666666666667,6.769933333333333,prediction_set_size,standard_real,0.9998785362208537
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,17,4091990,0.8219333333333333,1.4968666666666666,prediction_set_size,standard_reference,0.9624912508453626
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,17,4091990,0.8301333333333333,1.5434,prediction_set_size,spi_fast_form,0.9664494740592359
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,17,4091990,0.8434,1.6392,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,18,2569919,0.9856666666666667,13.998,prediction_set_size,standard_real,0.9999973280780777
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,18,2569919,0.8412,1.6896666666666667,prediction_set_size,standard_reference,0.9753858321321208
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,18,2569919,0.9021333333333333,2.7682,prediction_set_size,spi_fast_form,0.9960610972140554
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,18,2569919,0.9743333333333334,10.475066666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 4,ImageNet,SCP,0.1,0.9,15,1000,15000,19,5495936,0.9952666666666666,26.0394,prediction_set_size,standard_real,0.9999991035978442
Figure 4,ImageNet,Synthetic-only,0.1,0.9,15,1000,15000,19,5495936,0.8366666666666667,1.6370666666666667,prediction_set_size,standard_reference,0.9724725361134173
Figure 4,ImageNet,SPI,0.1,0.9,15,1000,15000,19,5495936,0.8801333333333333,2.1200666666666668,prediction_set_size,spi_fast_form,0.9895300345586968
Figure 4,ImageNet,RSA-CP (OT) (Ours),0.1,0.9,15,1000,15000,19,5495936,0.8931333333333333,2.4110666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
