"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"SCP",0.901,4.84861058555221,0,"Student-t",6,1000,1000
"RSA-CP (OT) (Ours)",0.8665,4.25475060139241,0,"Student-t",6,1000,1000
"SPI",0.9935,11.9188214493293,0.0100000000000002,"Student-t",6,1000,1000
"Synthetic-only",0.9935,11.9106182788289,0,"Student-t",6,1000,1000
"SCP",0.901,4.84861058555221,0,"Student-t",6,2000,2000
"RSA-CP (OT) (Ours)",0.8665,4.24142136752729,0,"Student-t",6,2000,2000
"SPI",0.9935,11.6163819394132,0.0299999999999998,"Student-t",6,2000,2000
"Synthetic-only",0.9935,11.6096034847645,0,"Student-t",6,2000,2000
"SCP",0.901,4.84861058555221,0,"Student-t",6,3000,3000
"RSA-CP (OT) (Ours)",0.867,4.27260828934734,0,"Student-t",6,3000,3000
"SPI",0.993,11.2534731129667,0.0500000000000003,"Student-t",6,3000,3000
"Synthetic-only",0.993,11.2317279192309,0,"Student-t",6,3000,3000
"SCP",0.962,9.95304620269546,0,"LogNormal",7,50,50
"RSA-CP (OT) (Ours)",0.9615,9.93941673879477,0,"LogNormal",7,50,50
"SPI",0.995,19.2145942944435,0,"LogNormal",7,50,50
"Synthetic-only",0.9945,17.9616119773324,0,"LogNormal",7,50,50
"SCP",0.962,9.95304620269546,0,"LogNormal",7,100,100
"RSA-CP (OT) (Ours)",0.9615,9.89738960670684,0,"LogNormal",7,100,100
"SPI",0.975,11.7429618759263,0,"LogNormal",7,100,100
"Synthetic-only",0.996,19.9728671885715,0,"LogNormal",7,100,100
"SCP",0.962,9.95304620269546,0,"LogNormal",7,250,250
"RSA-CP (OT) (Ours)",0.9605,9.85987937362172,0,"LogNormal",7,250,250
"SPI",0.9615,9.88096098880472,0,"LogNormal",7,250,250
"Synthetic-only",0.9105,7.51852650640238,0,"LogNormal",7,250,250
"SCP",0.962,9.95304620269546,0,"LogNormal",7,500,500
"RSA-CP (OT) (Ours)",0.9605,9.85987937362172,0,"LogNormal",7,500,500
"SPI",0.975,11.7429618759263,0.0100000000000002,"LogNormal",7,500,500
"Synthetic-only",0.99,14.4404057447639,0.0100000000000002,"LogNormal",7,500,500
"SCP",0.962,9.95304620269546,0,"LogNormal",7,1000,1000
