"Method","Cov","Width","Time","Dataset","Trial","N","N_syn"
"Synthetic-only",0.9595,9.61238319095204,0,"LogNormal",24,1000,1000
"SCP",0.981,12.4884728731618,0,"LogNormal",24,2000,2000
"RSA-CP (OT) (Ours)",0.9785,12.2683995259568,0.0199999999999996,"LogNormal",24,2000,2000
"SPI",0.981,12.5544681660715,0.0300000000000011,"LogNormal",24,2000,2000
"Synthetic-only",0.978,12.1654242530499,0,"LogNormal",24,2000,2000
"SCP",0.981,12.4884728731618,0,"LogNormal",24,3000,3000
"RSA-CP (OT) (Ours)",0.9785,12.2683995259568,0,"LogNormal",24,3000,3000
"SPI",0.9775,12.0889055403362,0.0399999999999991,"LogNormal",24,3000,3000
"Synthetic-only",0.954,9.19655945409842,0,"LogNormal",24,3000,3000
"SCP",0.922,5.44216287622191,0,"Student-t",24,50,50
"RSA-CP (OT) (Ours)",0.922,5.43686285389624,0,"Student-t",24,50,50
"SPI",0.999,21.6733629083641,0,"Student-t",24,50,50
"Synthetic-only",0.993,11.1977275140322,0,"Student-t",24,50,50
"SCP",0.922,5.44216287622191,0,"Student-t",24,100,100
"RSA-CP (OT) (Ours)",0.902,4.86042438263977,0,"Student-t",24,100,100
"SPI",0.99,10.4719655611592,0,"Student-t",24,100,100
"Synthetic-only",0.993,11.2207065481883,0,"Student-t",24,100,100
"SCP",0.922,5.44216287622191,0,"Student-t",24,250,250
"RSA-CP (OT) (Ours)",0.89,4.70504237731499,0.0200000000000014,"Student-t",24,250,250
"SPI",0.99,10.4719655611592,0,"Student-t",24,250,250
"Synthetic-only",0.9945,12.755729967855,0,"Student-t",24,250,250
"SCP",0.922,5.44216287622191,0,"Student-t",24,500,500
"RSA-CP (OT) (Ours)",0.879,4.46580293440067,0,"Student-t",24,500,500
"SPI",0.9845,9.17551269003458,0.00999999999999979,"Student-t",24,500,500
"Synthetic-only",0.981,8.54504631259736,0,"Student-t",24,500,500
"SCP",0.922,5.44216287622191,0,"Student-t",24,1000,1000
"RSA-CP (OT) (Ours)",0.885,4.6081265848687,0,"Student-t",24,1000,1000
"SPI",0.99,10.4719655611592,0.0199999999999996,"Student-t",24,1000,1000
"Synthetic-only",0.9935,11.7368903871039,0,"Student-t",24,1000,1000
"SCP",0.922,5.44216287622191,0,"Student-t",24,2000,2000
"RSA-CP (OT) (Ours)",0.883,4.52007321063554,0.00999999999999979,"Student-t",24,2000,2000
"SPI",0.99,10.4719655611592,0.0300000000000011,"Student-t",24,2000,2000
"Synthetic-only",0.9935,11.9485251026733,0,"Student-t",24,2000,2000
"SCP",0.922,5.44216287622191,0,"Student-t",24,3000,3000
"RSA-CP (OT) (Ours)",0.884,4.54942433537992,0,"Student-t",24,3000,3000
"SPI",0.99,10.4719655611592,0.0499999999999989,"Student-t",24,3000,3000
"Synthetic-only",0.9935,11.6245511315608,0,"Student-t",24,3000,3000
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,50,50
"RSA-CP (OT) (Ours)",0.9605,9.76374306956385,0,"LogNormal",25,50,50
"SPI",0.947,8.73340657039536,0,"LogNormal",25,50,50
"Synthetic-only",0.9005,7.21944003539025,0,"LogNormal",25,50,50
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,100,100
"RSA-CP (OT) (Ours)",0.957,9.42263871491051,0.00999999999999979,"LogNormal",25,100,100
"SPI",0.981,12.7524269503345,0,"LogNormal",25,100,100
"Synthetic-only",0.9945,18.3676562606816,0,"LogNormal",25,100,100
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,250,250
"RSA-CP (OT) (Ours)",0.9585,9.47071340223149,0,"LogNormal",25,250,250
"SPI",0.981,12.7524269503345,0,"LogNormal",25,250,250
"Synthetic-only",0.995,18.9550657150233,0,"LogNormal",25,250,250
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,500,500
"RSA-CP (OT) (Ours)",0.957,9.40661381913686,0,"LogNormal",25,500,500
"SPI",0.947,8.73340657039536,0.00999999999999979,"LogNormal",25,500,500
"Synthetic-only",0.941,8.53452454935467,0,"LogNormal",25,500,500
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,1000,1000
"RSA-CP (OT) (Ours)",0.9565,9.35320360133724,0,"LogNormal",25,1000,1000
"SPI",0.947,8.73340657039536,0.0199999999999996,"LogNormal",25,1000,1000
"Synthetic-only",0.936,8.35436376831263,0,"LogNormal",25,1000,1000
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,2000,2000
"RSA-CP (OT) (Ours)",0.953,9.13804452602228,0,"LogNormal",25,2000,2000
"SPI",0.9595,9.68364658393725,0.0299999999999994,"LogNormal",25,2000,2000
"Synthetic-only",0.9595,9.5964137024556,0.00999999999999979,"LogNormal",25,2000,2000
"SCP",0.9605,9.77059892937713,0,"LogNormal",25,3000,3000
"RSA-CP (OT) (Ours)",0.9525,9.10721682601701,0,"LogNormal",25,3000,3000
"SPI",0.963,10.0811911810924,0.0399999999999991,"LogNormal",25,3000,3000
"Synthetic-only",0.9615,9.91849597733557,0,"LogNormal",25,3000,3000
"SCP",0.978,8.28995366120202,0,"Student-t",25,50,50
"RSA-CP (OT) (Ours)",0.978,8.28079851558267,0.0199999999999996,"Student-t",25,50,50
"SPI",0.971,7.65621886019649,0,"Student-t",25,50,50
"Synthetic-only",0.9215,5.3925162512043,0,"Student-t",25,50,50
"SCP",0.978,8.28995366120202,0,"Student-t",25,100,100
"RSA-CP (OT) (Ours)",0.966,7.24569870113483,0,"Student-t",25,100,100
"SPI",0.9695,7.46240491711451,0,"Student-t",25,100,100
"Synthetic-only",0.9625,7.05543304456873,0,"Student-t",25,100,100
"SCP",0.978,8.28995366120202,0,"Student-t",25,250,250
"RSA-CP (OT) (Ours)",0.9725,7.82773058529117,0,"Student-t",25,250,250
"SPI",0.989,10.2146887038926,0.0100000000000016,"Student-t",25,250,250
"Synthetic-only",0.9955,13.894814623513,0,"Student-t",25,250,250
"SCP",0.978,8.28995366120202,0,"Student-t",25,500,500
"RSA-CP (OT) (Ours)",0.97,7.53948551156061,0,"Student-t",25,500,500
"SPI",0.989,10.2146887038926,0.0199999999999996,"Student-t",25,500,500
"Synthetic-only",0.9945,12.5758572143459,0,"Student-t",25,500,500
"SCP",0.978,8.28995366120202,0,"Student-t",25,1000,1000
"RSA-CP (OT) (Ours)",0.971,7.61438106299996,0,"Student-t",25,1000,1000
"SPI",0.989,10.2146887038926,0.0199999999999996,"Student-t",25,1000,1000
"Synthetic-only",0.993,11.4464087360677,0,"Student-t",25,1000,1000
"SCP",0.978,8.28995366120202,0,"Student-t",25,2000,2000
"RSA-CP (OT) (Ours)",0.971,7.64597203978996,0,"Student-t",25,2000,2000
"SPI",0.989,10.2146887038926,0.0399999999999991,"Student-t",25,2000,2000
"Synthetic-only",0.9935,11.8769675844224,0,"Student-t",25,2000,2000
"SCP",0.978,8.28995366120202,0,"Student-t",25,3000,3000
"RSA-CP (OT) (Ours)",0.971,7.64597203978996,0,"Student-t",25,3000,3000
"SPI",0.989,10.2146887038926,0.0500000000000007,"Student-t",25,3000,3000
"Synthetic-only",0.993,11.2822287317254,0,"Student-t",25,3000,3000
"SCP",0.968,10.8151236794123,0,"LogNormal",26,50,50
"RSA-CP (OT) (Ours)",0.968,10.814297086214,0,"LogNormal",26,50,50
"SPI",0.996,20.6768430947071,0,"LogNormal",26,50,50
"Synthetic-only",0.9045,7.31379428800611,0,"LogNormal",26,50,50
"SCP",0.968,10.8151236794123,0,"LogNormal",26,100,100
"RSA-CP (OT) (Ours)",0.959,9.49548036838304,0,"LogNormal",26,100,100
"SPI",0.9885,13.7885282174812,0.0199999999999996,"LogNormal",26,100,100
"Synthetic-only",0.997,21.358462142221,0.0199999999999996,"LogNormal",26,100,100
"SCP",0.968,10.8151236794123,0,"LogNormal",26,250,250
"RSA-CP (OT) (Ours)",0.9545,9.23171702481685,0,"LogNormal",26,250,250
"SPI",0.9885,13.7885282174812,0,"LogNormal",26,250,250
"Synthetic-only",0.9655,10.3474278100379,0,"LogNormal",26,250,250
"SCP",0.968,10.8151236794123,0,"LogNormal",26,500,500
"RSA-CP (OT) (Ours)",0.955,9.28424072932877,0.0200000000000014,"LogNormal",26,500,500
"SPI",0.9405,8.51724907352402,0,"LogNormal",26,500,500
"Synthetic-only",0.93,8.13914546138808,0,"LogNormal",26,500,500
"SCP",0.968,10.8151236794123,0,"LogNormal",26,1000,1000
"RSA-CP (OT) (Ours)",0.9515,9.05835090772118,0,"LogNormal",26,1000,1000
"SPI",0.9825,13.243226396595,0.0299999999999994,"LogNormal",26,1000,1000
"Synthetic-only",0.9825,13.1402323154732,0.00999999999999979,"LogNormal",26,1000,1000
"SCP",0.968,10.8151236794123,0,"LogNormal",26,2000,2000
"RSA-CP (OT) (Ours)",0.9515,9.00774559538754,0,"LogNormal",26,2000,2000
"SPI",0.981,13.0399988175129,0.0299999999999994,"LogNormal",26,2000,2000
"Synthetic-only",0.981,12.6568665683663,0,"LogNormal",26,2000,2000
"SCP",0.968,10.8151236794123,0,"LogNormal",26,3000,3000
"RSA-CP (OT) (Ours)",0.9495,8.85592965838663,0,"LogNormal",26,3000,3000
"SPI",0.9785,12.3259445258453,0.0499999999999989,"LogNormal",26,3000,3000
"Synthetic-only",0.9785,12.3249867259452,0,"LogNormal",26,3000,3000
"SCP",0.933,5.71731812643807,0,"Student-t",26,50,50
"RSA-CP (OT) (Ours)",0.933,5.70767865507816,0.0199999999999996,"Student-t",26,50,50
"SPI",0.989,10.2770510281695,0,"Student-t",26,50,50
"Synthetic-only",0.9885,9.99994726226136,0,"Student-t",26,50,50
"SCP",0.933,5.71731812643807,0,"Student-t",26,100,100
"RSA-CP (OT) (Ours)",0.9245,5.56681821895908,0,"Student-t",26,100,100
"SPI",0.941,5.93610412866467,0,"Student-t",26,100,100
"Synthetic-only",0.995,12.8722448103275,0,"Student-t",26,100,100
"SCP",0.933,5.71731812643807,0,"Student-t",26,250,250
"RSA-CP (OT) (Ours)",0.9235,5.52973945997154,0,"Student-t",26,250,250
"SPI",0.941,5.93610412866467,0.00999999999999979,"Student-t",26,250,250
"Synthetic-only",0.995,13.8304241287242,0.00999999999999979,"Student-t",26,250,250
"SCP",0.933,5.71731812643807,0,"Student-t",26,500,500
"RSA-CP (OT) (Ours)",0.919,5.32865802506349,0,"Student-t",26,500,500
"SPI",0.941,5.93610412866467,0.0200000000000014,"Student-t",26,500,500
"Synthetic-only",0.9925,10.7263930407002,0,"Student-t",26,500,500
"SCP",0.933,5.71731812643807,0,"Student-t",26,1000,1000
"RSA-CP (OT) (Ours)",0.9165,5.25792427617128,0,"Student-t",26,1000,1000
"SPI",0.941,5.93610412866467,0.00999999999999979,"Student-t",26,1000,1000
"Synthetic-only",0.9935,12.0251621214634,0,"Student-t",26,1000,1000
"SCP",0.933,5.71731812643807,0,"Student-t",26,2000,2000
"RSA-CP (OT) (Ours)",0.9165,5.26123173156119,0,"Student-t",26,2000,2000
"SPI",0.941,5.93610412866467,0.0499999999999989,"Student-t",26,2000,2000
"Synthetic-only",0.9945,12.6988630207322,0.0199999999999996,"Student-t",26,2000,2000
"SCP",0.933,5.71731812643807,0,"Student-t",26,3000,3000
"RSA-CP (OT) (Ours)",0.919,5.31182049821081,0,"Student-t",26,3000,3000
"SPI",0.941,5.93610412866467,0.0900000000000016,"Student-t",26,3000,3000
"Synthetic-only",0.9945,12.5808398477669,0,"Student-t",26,3000,3000
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,50,50
"RSA-CP (OT) (Ours)",0.9695,11.0594486354161,0,"LogNormal",27,50,50
"SPI",0.996,19.9881621356324,0.0199999999999996,"LogNormal",27,50,50
"Synthetic-only",0.9945,17.9188375961303,0.0199999999999996,"LogNormal",27,50,50
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,100,100
"RSA-CP (OT) (Ours)",0.968,10.806327451859,0,"LogNormal",27,100,100
"SPI",0.991,15.5637076453801,0,"LogNormal",27,100,100
"Synthetic-only",0.99,14.4268629503073,0,"LogNormal",27,100,100
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,250,250
"RSA-CP (OT) (Ours)",0.951,8.95500773353893,0,"LogNormal",27,250,250
"SPI",0.9875,13.6880481311647,0.0199999999999996,"LogNormal",27,250,250
"Synthetic-only",0.968,10.8779284127644,0.0199999999999996,"LogNormal",27,250,250
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,500,500
"RSA-CP (OT) (Ours)",0.959,9.50386304623971,0,"LogNormal",27,500,500
"SPI",0.991,15.5637076453801,0.00999999999999979,"LogNormal",27,500,500
"Synthetic-only",0.992,16.4972944537935,0,"LogNormal",27,500,500
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,1000,1000
"RSA-CP (OT) (Ours)",0.955,9.27276607247096,0,"LogNormal",27,1000,1000
"SPI",0.936,8.35936314722639,0.0199999999999996,"LogNormal",27,1000,1000
"Synthetic-only",0.932,8.27767707630093,0,"LogNormal",27,1000,1000
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,2000,2000
"RSA-CP (OT) (Ours)",0.944,8.65156034242781,0.00999999999999979,"LogNormal",27,2000,2000
"SPI",0.954,9.21945876608374,0.0300000000000011,"LogNormal",27,2000,2000
"Synthetic-only",0.953,9.11994396259843,0,"LogNormal",27,2000,2000
"SCP",0.9695,11.0627621382703,0,"LogNormal",27,3000,3000
"RSA-CP (OT) (Ours)",0.941,8.58122245346499,0,"LogNormal",27,3000,3000
"SPI",0.9535,9.17981714230575,0.0499999999999989,"LogNormal",27,3000,3000
"Synthetic-only",0.953,9.1143598902111,0.0199999999999996,"LogNormal",27,3000,3000
"SCP",0.9245,5.54962869726051,0,"Student-t",27,50,50
"RSA-CP (OT) (Ours)",0.9245,5.54334057559917,0,"Student-t",27,50,50
"SPI",0.9965,14.4318397558397,0,"Student-t",27,50,50
"Synthetic-only",0.9865,9.45491816977684,0,"Student-t",27,50,50
"SCP",0.9245,5.54962869726051,0,"Student-t",27,100,100
"RSA-CP (OT) (Ours)",0.917,5.28272693612721,0,"Student-t",27,100,100
"SPI",0.9935,11.5821115085124,0,"Student-t",27,100,100
"Synthetic-only",0.993,11.2908028578167,0,"Student-t",27,100,100
"SCP",0.9245,5.54962869726051,0,"Student-t",27,250,250
"RSA-CP (OT) (Ours)",0.9195,5.36494836703969,0.00999999999999979,"Student-t",27,250,250
"SPI",0.9945,12.5237093455176,0,"Student-t",27,250,250
"Synthetic-only",0.9945,12.2174584496494,0,"Student-t",27,250,250
"SCP",0.9245,5.54962869726051,0,"Student-t",27,500,500
"RSA-CP (OT) (Ours)",0.915,5.20050550521472,0,"Student-t",27,500,500
"SPI",0.9935,11.9347661083239,0.0199999999999996,"Student-t",27,500,500
"Synthetic-only",0.9935,11.7995176599947,0,"Student-t",27,500,500
"SCP",0.9245,5.54962869726051,0,"Student-t",27,1000,1000
"RSA-CP (OT) (Ours)",0.915,5.20298212824595,0,"Student-t",27,1000,1000
"SPI",0.9875,9.67551712568621,0.00999999999999979,"Student-t",27,1000,1000
"Synthetic-only",0.9875,9.63431018542405,0,"Student-t",27,1000,1000
"SCP",0.9245,5.54962869726051,0,"Student-t",27,2000,2000
"RSA-CP (OT) (Ours)",0.9145,5.18344203174389,0.0199999999999996,"Student-t",27,2000,2000
"SPI",0.993,11.0509988268799,0.0300000000000011,"Student-t",27,2000,2000
"Synthetic-only",0.993,11.0469421846814,0,"Student-t",27,2000,2000
"SCP",0.9245,5.54962869726051,0,"Student-t",27,3000,3000
"RSA-CP (OT) (Ours)",0.9155,5.22655311007738,0,"Student-t",27,3000,3000
"SPI",0.993,10.8787005157508,0.0499999999999989,"Student-t",27,3000,3000
"Synthetic-only",0.993,10.8537232873018,0,"Student-t",27,3000,3000
"SCP",0.931,8.24089075600167,0,"LogNormal",28,50,50
"RSA-CP (OT) (Ours)",0.9305,8.20385574763903,0,"LogNormal",28,50,50
"SPI",0.999,27.5540754552977,0,"LogNormal",28,50,50
"Synthetic-only",0.997,23.7300114649384,0,"LogNormal",28,50,50
"SCP",0.931,8.24089075600167,0,"LogNormal",28,100,100
"RSA-CP (OT) (Ours)",0.93,8.07259405567681,0.0200000000000014,"LogNormal",28,100,100
"SPI",0.971,11.2767550066402,0,"LogNormal",28,100,100
"Synthetic-only",0.925,7.93488295127819,0,"LogNormal",28,100,100
"SCP",0.931,8.24089075600167,0,"LogNormal",28,250,250
"RSA-CP (OT) (Ours)",0.927,8.0069632096957,0,"LogNormal",28,250,250
"SPI",0.971,11.2767550066402,0,"LogNormal",28,250,250
"Synthetic-only",0.9705,11.1840647972566,0,"LogNormal",28,250,250
"SCP",0.931,8.24089075600167,0,"LogNormal",28,500,500
"RSA-CP (OT) (Ours)",0.927,8.0069632096957,0.00999999999999979,"LogNormal",28,500,500
"SPI",0.971,11.2767550066402,0,"LogNormal",28,500,500
"Synthetic-only",0.99,14.4221931232552,0,"LogNormal",28,500,500
"SCP",0.931,8.24089075600167,0,"LogNormal",28,1000,1000
"RSA-CP (OT) (Ours)",0.924,7.894793857975,0.0199999999999996,"LogNormal",28,1000,1000
"SPI",0.938,8.43921911718115,0.00999999999999979,"LogNormal",28,1000,1000
"Synthetic-only",0.9305,8.20564993433561,0,"LogNormal",28,1000,1000
"SCP",0.931,8.24089075600167,0,"LogNormal",28,2000,2000
"RSA-CP (OT) (Ours)",0.924,7.894793857975,0,"LogNormal",28,2000,2000
"SPI",0.971,11.2767550066402,0.0400000000000009,"LogNormal",28,2000,2000
"Synthetic-only",0.974,11.6421141573641,0,"LogNormal",28,2000,2000
"SCP",0.931,8.24089075600167,0,"LogNormal",28,3000,3000
"RSA-CP (OT) (Ours)",0.924,7.894793857975,0.00999999999999979,"LogNormal",28,3000,3000
"SPI",0.971,11.2767550066402,0.0499999999999989,"LogNormal",28,3000,3000
"Synthetic-only",0.99,14.489405040046,0,"LogNormal",28,3000,3000
"SCP",0.951,6.31130588861685,0,"Student-t",28,50,50
"RSA-CP (OT) (Ours)",0.9505,6.29991773277031,0,"Student-t",28,50,50
"SPI",0.999,20.1970932592445,0,"Student-t",28,50,50
"Synthetic-only",0.9945,12.4974865200071,0,"Student-t",28,50,50
"SCP",0.951,6.31130588861685,0,"Student-t",28,100,100
"RSA-CP (OT) (Ours)",0.9465,6.10797752446577,0.0100000000000016,"Student-t",28,100,100
"SPI",0.9915,10.6463726026661,0,"Student-t",28,100,100
"Synthetic-only",0.9985,16.3665489448741,0,"Student-t",28,100,100
"SCP",0.951,6.31130588861685,0,"Student-t",28,250,250
"RSA-CP (OT) (Ours)",0.947,6.18388831936142,0,"Student-t",28,250,250
"SPI",0.9785,8.33049380335507,0,"Student-t",28,250,250
"Synthetic-only",0.9765,8.20943793154436,0,"Student-t",28,250,250
"SCP",0.951,6.31130588861685,0,"Student-t",28,500,500
"RSA-CP (OT) (Ours)",0.943,5.99832985290986,0.0199999999999996,"Student-t",28,500,500
"SPI",0.9915,10.6463726026661,0,"Student-t",28,500,500
"Synthetic-only",0.996,14.0846534841771,0,"Student-t",28,500,500
"SCP",0.951,6.31130588861685,0,"Student-t",28,1000,1000
"RSA-CP (OT) (Ours)",0.945,6.06473202840332,0.0199999999999996,"Student-t",28,1000,1000
"SPI",0.99,10.4640445445985,0.00999999999999979,"Student-t",28,1000,1000
"Synthetic-only",0.989,10.1981249315641,0,"Student-t",28,1000,1000
"SCP",0.951,6.31130588861685,0,"Student-t",28,2000,2000
"RSA-CP (OT) (Ours)",0.9425,5.98752981260726,0,"Student-t",28,2000,2000
"SPI",0.9915,10.6463726026661,0.0299999999999994,"Student-t",28,2000,2000
"Synthetic-only",0.993,11.0395670160371,0,"Student-t",28,2000,2000
"SCP",0.951,6.31130588861685,0,"Student-t",28,3000,3000
"RSA-CP (OT) (Ours)",0.9425,5.98752981260726,0.0200000000000014,"Student-t",28,3000,3000
"SPI",0.9915,10.6226509217468,0.0399999999999991,"Student-t",28,3000,3000
"Synthetic-only",0.9915,10.6003676526238,0,"Student-t",28,3000,3000
"SCP",0.981,12.9869030115318,0,"LogNormal",29,50,50
"RSA-CP (OT) (Ours)",0.981,12.9751751957006,0,"LogNormal",29,50,50
"SPI",0.996,19.7052232867068,0.0199999999999996,"LogNormal",29,50,50
"Synthetic-only",0.914,7.61426224465216,0.0199999999999996,"LogNormal",29,50,50
"SCP",0.981,12.9869030115318,0,"LogNormal",29,100,100
"RSA-CP (OT) (Ours)",0.975,11.770337498957,0,"LogNormal",29,100,100
"SPI",0.9545,9.25880856330452,0,"LogNormal",29,100,100
"Synthetic-only",0.923,7.83963615489071,0,"LogNormal",29,100,100
"SCP",0.981,12.9869030115318,0,"LogNormal",29,250,250
"RSA-CP (OT) (Ours)",0.9765,12.0252070117297,0,"LogNormal",29,250,250
"SPI",0.9545,9.25880856330452,0.0200000000000014,"LogNormal",29,250,250
"Synthetic-only",0.904,7.27850064497603,0.0200000000000014,"LogNormal",29,250,250
"SCP",0.981,12.9869030115318,0,"LogNormal",29,500,500
"RSA-CP (OT) (Ours)",0.968,10.9002730865041,0,"LogNormal",29,500,500
"SPI",0.9945,18.4612888946572,0.00999999999999979,"LogNormal",29,500,500
"Synthetic-only",0.9945,18.2829748337254,0,"LogNormal",29,500,500
"SCP",0.981,12.9869030115318,0,"LogNormal",29,1000,1000
"RSA-CP (OT) (Ours)",0.967,10.6067134739979,0,"LogNormal",29,1000,1000
"SPI",0.975,11.827684078327,0.0199999999999996,"LogNormal",29,1000,1000
"Synthetic-only",0.969,11.0138566643079,0,"LogNormal",29,1000,1000
"SCP",0.981,12.9869030115318,0,"LogNormal",29,2000,2000
"RSA-CP (OT) (Ours)",0.968,10.7001255187467,0.00999999999999979,"LogNormal",29,2000,2000
"SPI",0.9545,9.25880856330452,0.0300000000000011,"LogNormal",29,2000,2000
"Synthetic-only",0.952,9.08759222879212,0,"LogNormal",29,2000,2000
"SCP",0.981,12.9869030115318,0,"LogNormal",29,3000,3000
"RSA-CP (OT) (Ours)",0.9665,10.5574571784967,0.0199999999999996,"LogNormal",29,3000,3000
"SPI",0.981,12.6135722144211,0.0499999999999989,"LogNormal",29,3000,3000
"Synthetic-only",0.9785,12.3193737453697,0,"LogNormal",29,3000,3000
"SCP",0.999,17.6932515166968,0,"Student-t",29,50,50
"RSA-CP (OT) (Ours)",0.999,17.6753501396851,0,"Student-t",29,50,50
"SPI",0.999,17.0388017431699,0,"Student-t",29,50,50
"Synthetic-only",0.9685,7.39910800573981,0,"Student-t",29,50,50
"SCP",0.999,17.6932515166968,0,"Student-t",29,100,100
"RSA-CP (OT) (Ours)",0.9945,12.632383009436,0,"Student-t",29,100,100
"SPI",0.9985,16.4395862994825,0.00999999999999979,"Student-t",29,100,100
"Synthetic-only",0.997,15.2080127078056,0.00999999999999979,"Student-t",29,100,100
"SCP",0.999,17.6932515166968,0,"Student-t",29,250,250
"RSA-CP (OT) (Ours)",0.9965,14.2800851411016,0,"Student-t",29,250,250
"SPI",0.9855,9.29752074483973,0,"Student-t",29,250,250
"Synthetic-only",0.984,9.03936377064029,0,"Student-t",29,250,250
"SCP",0.999,17.6932515166968,0,"Student-t",29,500,500
"RSA-CP (OT) (Ours)",0.995,13.2065822371376,0,"Student-t",29,500,500
"SPI",0.9965,14.5218737316971,0,"Student-t",29,500,500
"Synthetic-only",0.9965,14.4188950712818,0,"Student-t",29,500,500
"SCP",0.999,17.6932515166968,0,"Student-t",29,1000,1000
"RSA-CP (OT) (Ours)",0.9935,11.533914921659,0.00999999999999979,"Student-t",29,1000,1000
"SPI",0.9935,12.0613123844601,0.0199999999999996,"Student-t",29,1000,1000
"Synthetic-only",0.9935,11.7389688508693,0,"Student-t",29,1000,1000
"SCP",0.999,17.6932515166968,0,"Student-t",29,2000,2000
"RSA-CP (OT) (Ours)",0.993,11.109506796836,0,"Student-t",29,2000,2000
"SPI",0.9935,11.786911777646,0.0299999999999994,"Student-t",29,2000,2000
"Synthetic-only",0.9935,11.6803988413135,0,"Student-t",29,2000,2000
"SCP",0.999,17.6932515166968,0,"Student-t",29,3000,3000
"RSA-CP (OT) (Ours)",0.993,11.1590050924987,0.0200000000000014,"Student-t",29,3000,3000
"SPI",0.993,11.1388534913522,0.0399999999999991,"Student-t",29,3000,3000
"Synthetic-only",0.993,11.1173043321733,0,"Student-t",29,3000,3000
"SCP",0.905,7.32230468051584,0,"LogNormal",30,50,50
"RSA-CP (OT) (Ours)",0.9045,7.30882658632585,0.0199999999999996,"LogNormal",30,50,50
"SPI",0.997,23.11548697726,0,"LogNormal",30,50,50
"Synthetic-only",0.9955,19.2543073277324,0,"LogNormal",30,50,50
"SCP",0.905,7.32230468051584,0,"LogNormal",30,100,100
"RSA-CP (OT) (Ours)",0.888,6.94616196204756,0,"LogNormal",30,100,100
