"Method","Cov","Width","Time","Dataset","Trial","Shock_Probability"
"RSA-CP (OT) (Ours)",0.9715,9.68963731303239,0,"LogNormal",12,0.2
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0.3
"RSA-CP (OT) (Ours)",0.974,9.98485692823131,0.0199999999999818,"LogNormal",12,0.3
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0.4
"RSA-CP (OT) (Ours)",0.975,10.204964865767,0,"LogNormal",12,0.4
"SCP",0.9795,11.1202018774814,0,"LogNormal",12,0.5
"RSA-CP (OT) (Ours)",0.9665,9.27850082491802,0,"LogNormal",12,0.5
"SCP",1,97.1758698019994,0,"Student-t",12,0
"RSA-CP (OT) (Ours)",0.9985,28.0829348510365,0.0100000000000193,"Student-t",12,0
"SCP",1,97.1758698019994,0,"Student-t",12,0.1
"RSA-CP (OT) (Ours)",0.999,36.7935667040776,0,"Student-t",12,0.1
"SCP",1,97.1758698019994,0,"Student-t",12,0.2
"RSA-CP (OT) (Ours)",0.999,36.9180716275916,0,"Student-t",12,0.2
"SCP",1,97.1758698019994,0,"Student-t",12,0.3
"RSA-CP (OT) (Ours)",0.998,25.9356879350261,0.0199999999999818,"Student-t",12,0.3
"SCP",1,97.1758698019994,0,"Student-t",12,0.4
"RSA-CP (OT) (Ours)",0.998,27.0371048105439,0,"Student-t",12,0.4
"SCP",1,97.1758698019994,0,"Student-t",12,0.5
"RSA-CP (OT) (Ours)",0.9985,29.5283274124244,0,"Student-t",12,0.5
"SCP",0.997,17.278338250815,0,"LogNormal",13,0
"RSA-CP (OT) (Ours)",0.9795,11.0615626788199,0,"LogNormal",13,0
"SCP",0.997,17.278338250815,0,"LogNormal",13,0.1
"RSA-CP (OT) (Ours)",0.9795,10.8906389561034,0,"LogNormal",13,0.1
"SCP",0.997,17.278338250815,0,"LogNormal",13,0.2
"RSA-CP (OT) (Ours)",0.9725,9.82628842533694,0.0199999999999818,"LogNormal",13,0.2
"SCP",0.997,17.278338250815,0,"LogNormal",13,0.3
"RSA-CP (OT) (Ours)",0.9765,10.4224671621215,0,"LogNormal",13,0.3
"SCP",0.997,17.278338250815,0,"LogNormal",13,0.4
"RSA-CP (OT) (Ours)",0.977,10.4724452255061,0,"LogNormal",13,0.4
"SCP",0.997,17.278338250815,0,"LogNormal",13,0.5
"RSA-CP (OT) (Ours)",0.9735,9.87265704331228,0.0200000000000102,"LogNormal",13,0.5
"SCP",0.995,14.0937094253494,0,"Student-t",13,0
"RSA-CP (OT) (Ours)",0.968,7.8442318694129,0,"Student-t",13,0
"SCP",0.995,14.0937094253494,0,"Student-t",13,0.1
"RSA-CP (OT) (Ours)",0.979,9.07301429742436,0,"Student-t",13,0.1
"SCP",0.995,14.0937094253494,0,"Student-t",13,0.2
"RSA-CP (OT) (Ours)",0.9745,8.44961539559553,0,"Student-t",13,0.2
"SCP",0.995,14.0937094253494,0,"Student-t",13,0.3
"RSA-CP (OT) (Ours)",0.9695,8.04930688758835,0.00999999999999091,"Student-t",13,0.3
"SCP",0.995,14.0937094253494,0,"Student-t",13,0.4
"RSA-CP (OT) (Ours)",0.967,7.73678898489673,0,"Student-t",13,0.4
"SCP",0.995,14.0937094253494,0,"Student-t",13,0.5
"RSA-CP (OT) (Ours)",0.965,7.53941643049758,0,"Student-t",13,0.5
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0
"RSA-CP (OT) (Ours)",0.939,7.84082098077143,0,"LogNormal",14,0
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0.1
"RSA-CP (OT) (Ours)",0.932,7.50689175914083,0,"LogNormal",14,0.1
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0.2
"RSA-CP (OT) (Ours)",0.9345,7.60682006077432,0,"LogNormal",14,0.2
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0.3
"RSA-CP (OT) (Ours)",0.9385,7.82210907104221,0,"LogNormal",14,0.3
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0.4
"RSA-CP (OT) (Ours)",0.803,4.93138223663626,0,"LogNormal",14,0.4
"SCP",0.977,10.5427317126809,0,"LogNormal",14,0.5
"RSA-CP (OT) (Ours)",0.939,7.84858632599715,0,"LogNormal",14,0.5
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0
"RSA-CP (OT) (Ours)",0.9355,5.62522667821413,0,"Student-t",14,0
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0.1
"RSA-CP (OT) (Ours)",0.927,5.32760047433932,0,"Student-t",14,0.1
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0.2
"RSA-CP (OT) (Ours)",0.932,5.52210843740526,0,"Student-t",14,0.2
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0.3
"RSA-CP (OT) (Ours)",0.932,5.50504904870664,0,"Student-t",14,0.3
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0.4
"RSA-CP (OT) (Ours)",0.9235,5.25116922729063,0,"Student-t",14,0.4
"SCP",0.9585,7.08484787179941,0.0200000000000102,"Student-t",14,0.5
"RSA-CP (OT) (Ours)",0.9245,5.29447075408143,0,"Student-t",14,0.5
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0
"RSA-CP (OT) (Ours)",0.9655,9.17561803120856,0,"LogNormal",15,0
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0.1
"RSA-CP (OT) (Ours)",0.966,9.25766817183366,0,"LogNormal",15,0.1
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0.2
"RSA-CP (OT) (Ours)",0.9605,8.89324646661151,0.00999999999999091,"LogNormal",15,0.2
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0.3
"RSA-CP (OT) (Ours)",0.9665,9.2640594854766,0,"LogNormal",15,0.3
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0.4
"RSA-CP (OT) (Ours)",0.9635,9.01766597112369,0,"LogNormal",15,0.4
"SCP",0.9815,11.4869951594878,0,"LogNormal",15,0.5
"RSA-CP (OT) (Ours)",0.959,8.78260854181155,0,"LogNormal",15,0.5
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0
"RSA-CP (OT) (Ours)",0.9445,6.17806264297702,0,"Student-t",15,0
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0.1
"RSA-CP (OT) (Ours)",0.9435,6.13810882036347,0,"Student-t",15,0.1
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0.2
"RSA-CP (OT) (Ours)",0.943,6.07112970886545,0,"Student-t",15,0.2
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0.3
"RSA-CP (OT) (Ours)",0.9415,6.00577871647234,0.0199999999999818,"Student-t",15,0.3
"SCP",0.9685,7.9179424242173,0.0200000000000102,"Student-t",15,0.4
"RSA-CP (OT) (Ours)",0.945,6.19672964962233,0,"Student-t",15,0.4
