"Method","Cov","Width","Time","Dataset","Trial","Noise"
"RSA-CP (OT) (Ours)",0.921,7.46519680033808,0,"LogNormal",7,1.5
"SPI",0.939,8.23806778854266,0.0700000000000003,"LogNormal",7,1.5
"Synthetic-only",0.939,8.22852244162412,0.019999999999996,"LogNormal",7,1.5
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,2
"RSA-CP (OT) (Ours)",0.921,7.48348387432064,0,"LogNormal",7,2
"SPI",0.972,10.1845518636323,0.0399999999999991,"LogNormal",7,2
"Synthetic-only",0.972,10.1754659338688,0,"LogNormal",7,2
"SCP",0.9405,8.28504355219445,0,"LogNormal",7,3
"RSA-CP (OT) (Ours)",0.9215,7.52363621590556,0,"LogNormal",7,3
"SPI",0.9755,10.6980073620167,0.0700000000000003,"LogNormal",7,3
"Synthetic-only",0.988,13.0389877117375,0.0200000000000031,"LogNormal",7,3
"SCP",0.954,6.75095751760722,0,"Student-t",7,0.25
"RSA-CP (OT) (Ours)",0.9415,6.1427121763583,0,"Student-t",7,0.25
"SPI",0.9515,6.52234161331307,0.0399999999999991,"Student-t",7,0.25
"Synthetic-only",0.9505,6.51244903840272,0,"Student-t",7,0.25
"SCP",0.954,6.75095751760722,0,"Student-t",7,0.5
"RSA-CP (OT) (Ours)",0.944,6.22343174649263,0.0200000000000031,"Student-t",7,0.5
"SPI",0.954,6.71076726045511,0.029999999999994,"Student-t",7,0.5
"Synthetic-only",0.954,6.69374074925225,0.0200000000000031,"Student-t",7,0.5
"SCP",0.954,6.75095751760722,0,"Student-t",7,1
"RSA-CP (OT) (Ours)",0.944,6.19042170296865,0,"Student-t",7,1
"SPI",0.9625,7.34196965004934,0.0399999999999991,"Student-t",7,1
"Synthetic-only",0.9625,7.33779471064191,0,"Student-t",7,1
"SCP",0.954,6.75095751760722,0,"Student-t",7,1.5
"RSA-CP (OT) (Ours)",0.944,6.24447403556438,0.0200000000000031,"Student-t",7,1.5
