"Method","Cov","Width","Time","Dataset","Trial","N","N_cal"
"SPI",0.9895,10.4794535215202,0.0299999999999869,"Student-t",41,3000,20
"Synthetic-only",0.9895,10.4343153757525,0,"Student-t",41,3000,20
"SCP",0.8855,6.60773888068257,0,"LogNormal",42,3000,20
"RSA-CP (OT) (Ours)",0.8585,6.04700247973424,0,"LogNormal",42,3000,20
"SPI",0.953,9.02413484693171,0.0300000000000011,"LogNormal",42,3000,20
"Synthetic-only",0.953,9.01542930625631,0,"LogNormal",42,3000,20
"SCP",0.9895,10.0414912686998,0,"Student-t",42,3000,20
"RSA-CP (OT) (Ours)",0.947,5.65638684473241,0,"Student-t",42,3000,20
"SPI",0.992,11.5579217463331,0.0300000000000011,"Student-t",42,3000,20
"Synthetic-only",0.992,11.4984067716808,0,"Student-t",42,3000,20
"SCP",0.967,10.1834389592861,0,"LogNormal",43,3000,20
"RSA-CP (OT) (Ours)",0.9605,9.51452162773023,0.019999999999996,"LogNormal",43,3000,20
"SPI",0.975,11.2320621998311,0.00999999999999091,"LogNormal",43,3000,20
"Synthetic-only",0.9735,11.1157723464034,0,"LogNormal",43,3000,20
"SCP",0.997,13.2874008950229,0.0200000000000102,"Student-t",43,3000,20
"RSA-CP (OT) (Ours)",0.9355,5.30534511998219,0,"Student-t",43,3000,20
"SPI",0.9945,12.3696787292331,0.0300000000000011,"Student-t",43,3000,20
"Synthetic-only",0.9945,12.3404069797991,0,"Student-t",43,3000,20
"SCP",0.9845,13.0046622538356,0,"LogNormal",44,3000,20
"RSA-CP (OT) (Ours)",0.953,9.00259855499111,0.019999999999996,"LogNormal",44,3000,20
"SPI",0.99,14.5006638261992,0.0100000000000051,"LogNormal",44,3000,20
"Synthetic-only",0.99,14.5001537940314,0,"LogNormal",44,3000,20
